date,depth,temp,sp_cond,do,p_h,chl_a,temp_flag,sp_cond_flag,do_flag,p_h_flag,chl_a_flag
2012-03-12,8,2.45,451,5.31,7.78,,,,,,ND
2012-03-12,9,2.42,452,4.94,7.76,,,,,,ND
2012-03-12,10,2.4,453,4.61,7.74,,,,,,ND
2012-03-12,11,2.39,454,4.35,7.72,,,,,,ND
2012-03-12,12,2.39,454,4.12,7.7,,,,,,ND
2012-03-12,13,2.39,455,3.95,7.68,,,,,,ND
2012-03-12,14,2.38,455,3.81,7.67,,,,,,ND
2012-03-12,15,2.38,456,3.69,7.65,,,,,,ND
2012-03-12,16,2.39,456,3.55,7.64,,,,,,ND
2012-03-12,17,2.4,456,3.43,7.63,,,,,,ND
2012-03-12,18,2.4,456,3.32,7.62,,,,,,ND
2012-03-12,19,2.4,456,3.21,7.6,,,,,,ND
2012-03-12,20,2.4,457,3.1,7.59,,,,,,ND
2012-03-12,21,2.41,457,2.99,7.58,,,,,,ND
2012-03-12,22,2.41,457,2.88,7.57,,,,,,ND
2012-03-12,23,2.42,457,2.78,7.56,,,,,,ND
2012-03-12,24,2.43,457,2.67,7.55,,,,,,ND
2012-03-12,25,2.43,457,2.52,7.55,,,,,,ND
2012-03-12,26,2.43,457,2.38,7.54,,,,,,ND
2012-03-12,27,2.44,457,2.23,7.53,,,,,,ND
2012-03-12,28,2.44,457,2.06,7.52,,,,,,ND
2012-03-12,29,2.44,457,1.89,7.52,,,,,,ND
2012-03-12,30,2.44,458,1.72,7.51,,,,,,ND
2012-03-12,31,2.44,458,1.55,7.5,,,,,,ND
2012-03-12,32,2.46,458,1.37,7.49,,,,,,ND
2012-03-12,33,2.46,459,1.16,7.49,,,,,,ND
2012-03-12,34,2.47,460,0.97,7.48,,,,,,ND
2012-03-12,35,2.49,463,0.76,7.46,,,,,,ND
2012-03-12,36,2.51,465,0.52,7.45,,,,,,ND
2012-03-12,37,2.64,470,0.25,7.44,,,,,,ND
2012-03-12,38,2.7,475,0.13,7.44,,,,,,ND
2012-03-12,39,2.71,477,0.08,7.43,,,,,,ND
2012-03-12,40,2.71,479,0.06,7.43,,,,,,ND
2012-04-06,0.5,4.2,418,12.55,7.88,,,,,,ND
2012-04-06,1,4.01,422,12.5,7.35,,,,,,ND
2012-04-06,2,3.85,424,12.49,7.32,,,,,,ND
2012-04-06,3,3.73,425,12.39,7.31,,,,,,ND
2012-04-06,4,3.7,425,12.28,7.3,,,,,,ND
2012-04-06,5,3.67,425,12.21,7.28,,,,,,ND
2012-04-06,6,3.65,425,12.17,7.28,,,,,,ND
2012-04-06,7,3.65,426,12.01,7.26,,,,,,ND
2012-04-06,8,3.65,426,11.96,7.25,,,,,,ND
2012-04-06,9,3.66,426,11.87,7.24,,,,,,ND
2012-04-06,10,3.65,426,11.79,7.23,,,,,,ND
2012-04-06,11,3.65,426,11.74,7.23,,,,,,ND
2012-04-06,12,3.65,426,11.63,7.23,,,,,,ND
2012-04-06,13,3.66,426,11.52,7.22,,,,,,ND
2012-04-06,14,3.66,426,11.39,7.22,,,,,,ND
2012-04-06,15,3.66,426,11.27,7.22,,,,,,ND
2012-04-06,16,3.65,426,11.15,7.22,,,,,,ND
2012-04-06,17,3.63,427,11.1,7.22,,,,,,ND
2012-04-06,18,3.61,427,11.01,7.21,,,,,,ND
2012-04-06,19,3.6,428,10.82,7.21,,,,,,ND
2012-04-06,20,3.5,430,10.53,7.2,,,,,,ND
2012-04-06,21,3.47,431,10.3,7.19,,,,,,ND
2012-04-06,22,3.39,433,10.05,7.18,,,,,,ND
2012-04-06,23,3.33,434,9.68,7.17,,,,,,ND
2012-04-06,24,3.18,438,9.42,7.16,,,,,,ND
2012-04-06,25,3.06,442,9.11,7.15,,,,,,ND
2012-04-06,26,3.01,444,8.65,7.14,,,,,,ND
2012-04-06,27,2.96,445,7.94,7.14,,,,,,ND
2012-04-06,28,2.94,445,7.49,7.13,,,,,,ND
2012-04-06,29,2.85,449,7.18,7.12,,,,,,ND
2012-04-06,30,2.84,450,6.86,7.11,,,,,,ND
2012-04-06,31,2.83,450,6.6,7.11,,,,,,ND
2012-04-06,32,2.83,451,6.39,7.1,,,,,,ND
2012-04-06,33,2.81,453,5.99,7.09,,,,,,ND
2012-04-06,34,2.8,454,5.56,7.09,,,,,,ND
2012-04-06,35,2.78,457,5.15,7.08,,,,,,ND
2012-04-06,36,2.76,461,4.43,7.07,,,,,,ND
2012-04-06,37,2.75,464,3.67,7.07,,,,,,ND
2012-04-06,38,2.75,469,3.31,7.06,,,,,,ND
2012-04-06,39,2.75,476,3.22,7.05,,,,,,ND
2012-04-06,40,2.75,482,3.18,7.04,,,,,,ND
2012-05-06,0.5,17.71,359,12.33,7.86,100.5,,,,,
2012-05-06,1,17.69,359,12.34,7.84,101.1,,,,,
2012-05-06,2,17.56,359,12.36,7.83,138.6,,,,,
2012-05-06,3,11.07,380,12.44,7.67,158,,,,,
2012-05-06,4,8.49,413,12.03,7.35,77.1,,,,,
2012-05-06,5,7,421,11.56,7.25,59.4,,,,,
2012-05-06,6,5.78,423,9.99,7.15,29.3,,,,,
2012-05-06,7,5.77,423,9.68,7.14,24.3,,,,,
2012-05-06,8,5.57,424,9.23,7.14,23.4,,,,,
2012-05-06,9,5.43,424,8.97,7.14,21.9,,,,,
2012-05-06,10,5.21,424,8.52,7.16,18.8,,,,,
2012-05-06,11,5.13,424,8.22,7.17,18.4,,,,,
2012-05-06,12,4.93,425,8.02,7.19,18,,,,,
2012-05-06,13,4.7,426,7.76,7.19,16.6,,,,,
2012-05-06,14,4.62,426,7.5,7.19,14.7,,,,,
2012-05-06,15,4.53,427,7.33,7.19,14.5,,,,,
2012-05-06,16,4.44,428,7.12,7.19,13.6,,,,,
2012-05-06,17,4.24,428,6.81,7.17,12.1,,,,,
2012-05-06,18,4.06,430,6.65,7.17,11.9,,,,,
2012-05-06,19,4.06,430,6.31,7.15,11.2,,,,,
2012-05-06,20,3.89,433,5.96,7.14,10.1,,,,,
2012-05-06,21,3.83,434,5.6,7.13,,,,,,ND
2012-05-06,22,3.69,436,4.72,7.1,,,,,,ND
2012-05-06,23,3.59,438,4.37,7.09,,,,,,ND
2012-05-06,24,3.56,438,3.99,7.07,,,,,,ND
2012-05-06,25,3.54,439,3.68,7.06,,,,,,ND
2012-05-06,26,3.55,439,3.35,7.06,,,,,,ND
2012-05-06,27,3.49,439,3.1,7.06,,,,,,ND
2012-05-06,28,3.5,439,2.94,7.05,,,,,,ND
2012-05-06,29,3.46,440,2.8,7.04,,,,,,ND
2012-05-06,30,3.42,441,2.48,7.03,,,,,,ND
2012-05-06,31,3.41,441,2.33,7.03,,,,,,ND
2012-05-06,32,3.4,442,2.13,7.02,,,,,,ND
2012-05-06,33,3.38,442,1.96,7.02,,,,,,ND
2012-05-06,34,3.37,442,1.81,7.02,,,,,,ND
2012-05-06,35,3.36,442,1.68,7.01,,,,,,ND
2012-05-06,36,3.36,442,1.61,7.01,,,,,,ND
2012-05-06,37,3.37,442,1.55,7,,,,,,ND
2012-05-06,38,3.38,442,1.47,7,,,,,,ND
2012-05-06,39,3.37,443,1.42,7,,,,,,ND
2012-05-06,40,3.37,442,1.39,6.99,,,,,,ND
2012-06-15,0.5,19.71,374,10.85,8.64,39.1,,,,,
2012-06-15,1,19.78,375,11.97,8.73,38.4,,,,,
2012-06-15,2,19.71,375,12.09,8.74,38.9,,,,,
2012-06-15,3,16.1,376,12.34,8.73,24.4,,,,,
2012-06-15,4,14.03,399,9.62,8.21,23.6,,,,,
2012-06-15,5,9.73,424,6.8,7.8,14.5,,,,,
2012-06-15,6,7.17,425,3.9,7.59,18.4,,,,,
2012-06-15,7,6.03,425,2.88,7.52,18.7,,,,,
2012-06-15,8,5.53,426,2.65,7.52,17.9,,,,,
2012-06-15,9,5.29,426,2.54,7.51,13.7,,,,,
2012-06-15,10,5.07,426,2.25,7.49,11.6,,,,,
2012-06-15,11,5.03,426,2.16,7.5,10,,,,,
2012-06-15,12,4.81,427,2.07,7.49,9.3,,,,,
2012-06-15,13,4.73,428,1.93,7.49,8.7,,,,,
2012-06-15,14,4.66,429,1.82,7.48,8.6,,,,,
2012-06-15,15,4.59,429,1.67,7.48,8.4,,,,,
2012-06-15,16,4.53,430,1.51,7.47,8.3,,,,,
2012-06-15,17,4.36,431,1.37,7.47,7.7,,,,,
2012-06-15,18,4.25,432,1.18,7.46,7.3,,,,,
2012-06-15,19,4.15,433,1.04,7.46,6.767,,,,,
2012-06-15,20,4.05,434,0.84,7.45,6.267,,,,,
2012-06-15,21,3.99,435,0.71,7.45,,,,,,ND
2012-06-15,22,3.86,436,0.4,7.44,,,,,,ND
2012-06-15,23,3.81,437,0.25,7.44,,,,,,ND
2012-06-15,24,3.77,438,0.06,7.44,,,,,,ND
2012-06-15,25,3.68,439,0,7.44,,,,,,ND
2012-06-15,26,3.65,440,0,7.44,,,,,,ND
2012-06-15,27,3.62,441,0,7.45,,,,,,ND
2012-06-15,28,3.62,441,0,7.45,,,,,,ND
2012-06-15,29,3.62,442,0,7.45,,,,,,ND
2012-06-15,30,3.62,442,0,7.45,,,,,,ND
2012-06-15,31,3.62,442,0,7.46,,,,,,ND
2012-06-15,32,3.62,442,0,7.46,,,,,,ND
2012-06-15,33,3.62,442,0,7.46,,,,,,ND
2012-06-15,34,3.62,443,0,7.46,,,,,,ND
2012-06-15,35,3.62,444,0,7.46,,,,,,ND
2012-06-15,36,3.61,444,0,7.46,,,,,,ND
2012-06-15,37,3.61,444,0,7.46,,,,,,ND
2012-06-15,38,3.61,445,0,7.47,,,,,,ND
2012-06-15,39,3.61,445,0,7.47,,,,,,ND
2012-06-15,40,3.61,446,0,7.47,,,,,,ND
2012-07-19,0.5,19.74,348,9.77,8.59,35.9,,,,,
2012-07-19,1,19.74,348,9.91,8.56,35.4,,,,,
2012-07-19,2,19.58,350,9.68,8.52,33.6,,,,,
2012-07-19,3,19.21,354,8.61,8.36,29.8,,,,,
2012-07-19,4,15.45,391,4.15,7.94,39.5,,,,,
2012-07-19,5,10.7,423,1.48,7.72,19.9,,,,,
2012-07-19,6,6.69,428,0.46,7.6,13.5,,,,,
2012-07-19,7,5.95,428,0.29,7.57,11.5,,,,,
2012-07-19,8,5.52,428,0.18,7.56,10.1,,,,,
2012-07-19,9,5.24,429,0.1,7.55,9.8,,,,,
2012-07-19,10,5.12,429,0.05,7.55,9.2,,,,,
2012-07-19,11,5.03,429,0.02,7.55,8.4,,,,,
2012-07-19,12,4.92,429,0.01,7.55,8.4,,,,,
2012-07-19,13,4.79,430,0,7.55,8.6,,,,,
2012-07-19,14,4.7,431,0,7.54,7.9,,,,,
2012-07-19,15,4.53,433,0,7.54,7.9,,,,,
2012-07-19,16,4.41,434,0,7.54,7.3,,,,,
2012-07-19,17,4.36,435,0,7.54,7.1,,,,,
2012-07-19,18,4.29,436,0,7.54,6.8,,,,,
2012-07-19,19,4.24,436,0,7.54,6.5,,,,,
2012-07-19,20,4.18,437,0,7.54,6.2,,,,,
2012-07-19,21,4.1,438,0,7.54,,,,,,ND
2012-07-19,22,4.01,439,0,7.54,,,,,,ND
2012-07-19,23,3.94,441,0,7.54,,,,,,ND
2012-07-19,24,3.92,441,0,7.54,,,,,,ND
2012-07-19,25,3.84,443,0,7.54,,,,,,ND
2012-07-19,26,3.84,443,0,7.54,,,,,,ND
2012-07-19,27,3.8,444,0,7.54,,,,,,ND
2012-07-19,28,3.77,445,0,7.54,,,,,,ND
2012-07-19,29,3.76,445,0,7.54,,,,,,ND
2012-07-19,30,3.75,445,0,7.54,,,,,,ND
2012-07-19,31,3.74,445,0,7.55,,,,,,ND
2012-07-19,32,3.73,446,0,7.54,,,,,,ND
2012-07-19,33,3.73,446,0,7.54,,,,,,ND
2012-07-19,34,3.73,446,0,7.54,,,,,,ND
2012-07-19,35,3.72,446,0,7.54,,,,,,ND
2012-07-19,36,3.72,446,0,7.54,,,,,,ND
2012-07-19,37,3.73,447,0,7.54,,,,,,ND
2012-07-19,38,3.72,447,0,7.54,,,,,,ND
2012-07-19,39,3.72,447,0,7.54,,,,,,ND
2012-07-19,40,3.72,447,0,7.54,,,,,,ND
2012-08-29,0.5,21.28,360,9.82,8.51,19.8,,,,,
2012-08-29,1,18.99,358,10.46,8.5,21.5,,,,,
2012-08-29,2,18.84,359,10.21,8.46,22.6,,,,,
2012-08-29,3,18.64,360,9.6,8.39,23.6,,,,,
2012-08-29,4,15.46,386,1.41,7.56,23.6,,,,,
2012-08-29,5,10.17,423,0.46,7.37,18.2,,,,,
2012-08-29,6,7.73,426,0.26,7.37,11.5,,,,,
2012-08-29,7,6.44,427,0.24,7.33,8.1,,,,,
2012-08-29,8,5.72,426,0.17,7.31,7.6,,,,,
2012-08-29,9,5.4,427,0.17,7.28,7.4,,,,,
2012-08-29,10,5.17,428,0.14,7.28,7.3,,,,,
2012-08-29,11,5.01,428,0.15,7.29,6.8,,,,,
2012-08-29,12,4.92,428,0.14,7.28,7,,,,,
2012-08-29,13,4.71,429,0.13,7.3,6.6,,,,,
2012-08-29,14,4.63,430,0.11,7.28,6.7,,,,,
2012-08-29,15,4.53,432,0.11,7.3,6.8,,,,,
2012-08-29,16,4.41,433,0.12,7.29,6.9,,,,,
2012-08-29,17,4.35,434,0.11,7.32,7,,,,,
2012-08-29,18,4.24,436,0.1,7.32,7.1,,,,,
2012-08-29,19,4.17,436,0.1,7.34,7.2,,,,,
2012-08-29,20,4.09,438,0.11,7.35,7.3,,,,,
2012-08-29,21,4.05,438,0.11,7.36,,,,,,ND
2012-08-29,22,3.94,440,0.1,7.35,,,,,,ND
2012-08-29,23,3.93,440,0.1,7.39,,,,,,ND
2012-08-29,24,3.9,441,0.11,7.4,,,,,,ND
2012-08-29,25,3.9,441,0.1,7.41,,,,,,ND
2012-08-29,26,3.86,442,0.09,7.42,,,,,,ND
2012-08-29,27,3.85,442,0.1,7.43,,,,,,ND
2012-08-29,28,3.85,442,0.1,7.43,,,,,,ND
2012-08-29,29,3.83,443,0.09,7.41,,,,,,ND
2012-08-29,30,3.83,443,0.1,7.44,,,,,,ND
2012-08-29,31,3.82,443,0.09,7.45,,,,,,ND
2012-08-29,32,3.82,443,0.09,7.48,,,,,,ND
2012-08-29,33,3.82,443,0.08,7.48,,,,,,ND
2012-08-29,34,3.82,444,0.09,7.48,,,,,,ND
2012-08-29,35,3.82,444,0.08,7.49,,,,,,ND
2012-08-29,36,3.81,444,0.08,7.49,,,,,,ND
2012-08-29,37,3.81,444,0.08,7.49,,,,,,ND
2012-08-29,38,3.81,444,0.08,7.5,,,,,,ND
2012-08-29,39,3.81,445,0.07,7.5,,,,,,ND
2012-08-29,40,3.81,445,0.07,7.5,,,,,,ND
2012-09-24,0.5,14.47,413,9.28,8.11,16.7,,,,,
2012-09-24,1,14.26,415,8.77,8.08,18.1,,,,,
2012-09-24,2,14.08,417,8.59,8.07,19.4,,,,,
2012-09-24,3,14.06,417,8.56,8.09,19.8,,,,,
2012-09-24,4,14.04,418,8.52,8.08,20.6,,,,,
2012-09-24,5,11.68,461,2.01,7.68,19.3,,,,,
2012-09-24,6,8.14,479,0.96,7.55,13.8,,,,,
2012-09-24,7,6.45,480,0.69,7.5,8.3,,,,,
2012-09-24,8,5.8,480,0.56,7.49,7.4,,,,,
2012-09-24,9,5.26,483,0.33,7.42,6.8,,,,,
2012-09-24,10,5.03,485,0.23,7.38,6.6,,,,,
2012-09-24,11,4.95,485,0.22,7.35,6.4,,,,,
2012-09-24,12,4.78,485,0.18,7.35,6.4,,,,,
2012-09-24,13,4.73,487,0.18,7.33,6.5,,,,,
2012-09-24,14,4.64,488,0.16,7.32,6.4,,,,,
2012-09-24,15,4.56,489,0.16,7.33,6.5,,,,,
2012-09-24,16,4.44,490,0.15,7.3,6.467,,,,,
2012-09-24,17,4.33,491,0.14,7.32,6.467,,,,,
2012-09-24,18,4.29,492,0.14,7.32,6.467,,,,,
2012-09-24,19,4.23,493,0.14,7.29,6.467,,,,,
2012-09-24,20,4.16,494,0.13,7.3,6.467,,,,,
2012-09-24,21,4.06,496,0.14,7.31,,,,,,ND
2012-09-24,22,4.02,497,0.15,7.31,,,,,,ND
2012-09-24,23,4.01,498,0.14,7.3,,,,,,ND
2012-09-24,24,3.97,499,0.13,7.3,,,,,,ND
2012-09-24,25,3.95,499,0.13,7.32,,,,,,ND
2012-09-24,26,3.94,499,0.12,7.32,,,,,,ND
2012-09-24,27,3.93,500,0.12,7.31,,,,,,ND
2012-09-24,28,3.92,500,0.12,7.31,,,,,,ND
2012-09-24,29,3.91,500,0.13,7.34,,,,,,ND
2012-09-24,30,3.89,501,0.11,7.36,,,,,,ND
2012-09-24,31,3.88,501,0.11,7.36,,,,,,ND
2012-09-24,32,3.88,501,0.1,7.35,,,,,,ND
2012-09-24,33,3.89,501,0.11,7.34,,,,,,ND
2012-09-24,34,3.88,501,0.1,7.37,,,,,,ND
2012-09-24,35,3.88,502,0.1,7.37,,,,,,ND
2012-09-24,36,3.88,502,0.1,7.37,,,,,,ND
2012-09-24,37,3.88,502,0.09,7.35,,,,,,ND
2012-09-24,38,3.88,502,0.1,7.37,,,,,,ND
2012-09-24,39,3.88,502,0.1,7.37,,,,,,ND
2012-09-24,40,3.88,502,0.1,7.38,,,,,,ND
2012-10-24,0.5,10.13,448,10.11,8.37,26.3,,,,,
2012-10-24,1,10.13,448,10.28,8.35,25.6,,,,,
2012-10-24,2,10.13,448,10.31,8.35,24.2,,,,,
2012-10-24,3,10.14,448,10.3,8.34,24,,,,,
2012-10-24,4,10.14,448,10.31,8.33,26.2,,,,,
2012-10-24,5,10.12,449,10.22,8.32,24.9,,,,,
2012-10-24,6,9.93,454,8.09,8.19,18.9,,,,,
2012-10-24,7,9.24,459,4.11,8,14.5,,,,,
2012-10-24,8,6.93,480,0.34,7.76,11,,,,,
2012-10-24,9,5.75,480,0.18,7.71,7.7,,,,,
2012-10-24,10,5.23,482,0.11,7.63,6.8,,,,,
2012-10-24,11,5.02,481,0.09,7.62,6.5,,,,,
2012-10-24,12,4.85,482,0.07,7.65,6.3,,,,,
2012-10-24,13,4.67,483,0.07,7.63,6.3,,,,,
2012-10-24,14,4.61,484,0.08,7.65,6.3,,,,,
2012-10-24,15,4.55,485,0.05,7.65,6.3,,,,,
2012-10-24,16,4.52,486,0.04,7.6,6.3,,,,,
2012-10-24,17,4.45,487,0.03,7.63,6.4,,,,,
2012-10-24,18,4.34,488,0.02,7.62,6.3,,,,,
2012-10-24,19,4.26,489,0.02,7.61,6.2,,,,,
2012-10-24,20,4.18,491,0.01,7.6,6.3,,,,,
2012-10-24,21,4.15,491,0,7.6,,,,,,ND
2012-10-24,22,4.12,492,0,7.61,,,,,,ND
2012-10-24,23,4.07,493,0,7.6,,,,,,ND
2012-10-24,24,4.02,494,0,7.58,,,,,,ND
2012-10-24,25,4,494,0,7.6,,,,,,ND
2012-10-24,26,3.99,494,0,7.6,,,,,,ND
2012-10-24,27,3.97,495,0,7.58,,,,,,ND
2012-10-24,28,3.96,495,0,7.6,,,,,,ND
2012-10-24,29,3.95,496,0,7.56,,,,,,ND
2012-10-24,30,3.95,496,0,7.56,,,,,,ND
2012-10-24,31,3.95,496,0,7.58,,,,,,ND
2012-10-24,32,3.95,497,0,7.57,,,,,,ND
2012-10-24,33,3.95,497,0,7.57,,,,,,ND
2012-10-24,34,3.95,497,0,7.55,,,,,,ND
2012-10-24,35,3.94,497,0,7.58,,,,,,ND
2012-10-24,36,3.94,497,0,7.58,,,,,,ND
2012-10-24,37,3.95,497,0,7.58,,,,,,ND
2012-10-24,38,3.94,497,0,7.58,,,,,,ND
2012-10-24,39,3.95,498,0,7.58,,,,,,ND
2012-10-24,40,3.94,498,0,7.57,,,,,,ND
2012-11-20,0.5,5.41,452,8.2,8.2,16.2,,,,,
2012-11-20,1,5.4,453,7.9,8.04,15.7,,,,,
2012-11-20,2,5.4,453,7.84,8.02,15.7,,,,,
2012-11-20,3,5.39,453,7.83,8.01,15.9,,,,,
2012-11-20,4,5.39,452,7.79,8,15.6,,,,,
2012-11-20,5,5.39,453,7.76,7.99,16.4,,,,,
2012-11-20,6,5.39,452,7.75,7.99,15.4,,,,,
2012-11-20,7,5.39,452,7.7,7.97,15.4,,,,,
2012-11-20,8,5.39,452,7.65,7.97,15.4,,,,,
2012-11-20,9,5.39,452,7.65,7.97,14.6,,,,,
2012-11-20,10,5.39,452,7.65,7.97,15.1,,,,,
2012-11-20,11,5.39,452,7.65,7.97,14.5,,,,,
2012-11-20,12,5.39,452,7.64,7.96,13.6,,,,,
2012-11-20,13,5.37,453,7.63,7.96,13.1,,,,,
2012-11-20,14,5.37,453,7.47,7.95,12.4,,,,,
2012-11-20,15,5.35,454,7.29,7.94,11.9,,,,,
2012-11-20,16,5.34,454,7.09,7.92,11.7,,,,,
2012-11-20,17,5.22,457,6.35,7.89,11.2,,,,,
2012-11-20,18,4.71,468,0.75,7.67,8.4,,,,,
2012-11-20,19,4.29,473,0.38,7.61,6.7,,,,,
2012-11-20,20,4.21,474,0.28,7.6,6.1,,,,,
2012-11-20,21,4.11,476,0.19,7.58,,,,,,ND
2012-11-20,22,4.1,476,0.14,7.58,,,,,,ND
2012-11-20,23,4.07,477,0.09,7.55,,,,,,ND
2012-11-20,24,4.04,478,0.07,7.55,,,,,,ND
2012-11-20,25,4.01,479,0.05,7.53,,,,,,ND
2012-11-20,26,4,479,0.04,7.54,,,,,,ND
2012-11-20,27,3.98,480,0.04,7.52,,,,,,ND
2012-11-20,28,3.97,480,0.03,7.53,,,,,,ND
2012-11-20,29,3.96,480,0.02,7.52,,,,,,ND
2012-11-20,30,3.95,481,0.01,7.51,,,,,,ND
2012-11-20,31,3.95,481,0,7.51,,,,,,ND
2012-11-20,32,3.95,481,0,7.52,,,,,,ND
2012-11-20,33,3.95,482,0,7.51,,,,,,ND
2012-11-20,34,3.95,482,0,7.5,,,,,,ND
2012-11-20,35,3.95,482,0,7.5,,,,,,ND
2012-11-20,36,3.95,483,0,7.48,,,,,,ND
