date,depth,tn,tp,na,k,mg,ca,cl,so4,tn_flag,tp_flag,na_flag,k_flag,mg_flag,ca_flag,cl_flag,so4_flag
2015-10-15,1,0.66,0.11,5.1,2.23,11.97,65.98,5.57,20.31,,,,,,,,
2015-10-15,40,2.25,0.42,4.71,2.52,11.03,77.11,5.38,13.44,,,,,,,,
2015-11-15,1,1.48,0.04,5.03,2.28,11.87,68.34,7.98,18.63,,,,,,,,
2015-11-15,40,3.02,0.38,4.67,2.51,11.32,80,7.58,11.39,,,,,,,,
2015-12-21,1,1.61,0.18,4.98,2.34,11.81,70.76,8.13,17.51,,,,,,,,
2015-12-21,40,2.2,0.18,4.99,2.35,11.84,71.18,8.21,17.95,,,,,,,,
2016-03-14,1,1.3,0.11,3.77,2.2,11.42,69.64,8.5,25.85,,,,,,,,
2016-03-14,40,1.83,0.15,4.17,1.91,11.72,71.66,6.98,19.96,,,,,,,,
2016-04-15,1,2.24,0.27,4.9,2.25,11.15,72.42,8.76,27.21,,,,,,,,
2016-04-15,40,2.94,0.31,5.2,2.47,11.4,70.38,9.04,23.1,,,,,,,,
2016-05-22,1,0.59,0.6,4.99,2.19,11.81,57.67,9.8,31.96,,,,,,,,
2016-05-22,40,2.01,1.02,5.01,2.43,11.92,73.94,10.36,28.1,,,,,,,,
2016-06-23,1,1.18,0.04,4.83,2.03,11.12,45.14,10.62,33.21,,,,,,,,
2016-06-23,40,1.63,0.27,4.74,2.28,11.32,70.17,10.74,38.41,,,,,,,,
2016-07-27,1,0.71,0.07,5.05,2.01,11.72,48.36,9.98,27.65,,,,,,,,
2016-07-27,40,1.59,0.37,4.97,2.37,11.58,72.52,10.27,25.52,,,,,,,,
2016-08-19,1,1.05,0.1,5.23,2.11,11.76,51.92,6.97,22.27,,,,,,,,
2016-08-19,40,2.32,0.38,5.19,2.49,11.89,73.96,7.31,21.94,,,,,,,,
2016-09-23,1,0.77,0.07,5.33,2.11,12.08,55.64,6.84,20.17,,,,,,,,
2016-09-23,40,1.99,0.51,5.14,2.45,11.83,75.09,7.54,20.43,,,,,,,,
2016-11-11,1,0.69,0.07,5.06,2.22,11.76,66.96,10.14,26.97,,,,,,,,
2016-11-11,40,0.95,0.59,5.04,2.45,11.52,73.97,10.2,22.32,,,,,,,,
2016-12-12,1,1.35,0.21,4.91,2.27,11.72,70.33,9.86,27.96,,,,,,,,
2016-12-12,40,2.18,0.46,5.01,2.43,11.46,74.02,10.02,21.15,,,,,,,,
2017-01-11,1,2.51,0.13,4.79,2.27,11.74,72.66,8.49,25.97,,,,,,,,
2017-01-11,40,1.58,0.28,4.99,2.34,11.82,73.37,8.68,24.04,,,,,,,,
2017-01-31,1,1.37,0.34,4.85,2.4,11.49,73.05,8.73,31.77,,,,,,,,
2017-01-31,40,2.27,0.41,5.06,2.55,11.34,74.76,8.81,23.98,,,,,,,,
2017-02-18,1,1.34,0.09,4.75,2.29,11.13,71.82,6.52,22.96,,,,,,,,
2017-02-18,40,2.17,0.48,4.98,2.42,11.04,73.43,7.59,19.87,,,,,,,,
2017-03-27,1,2.49,0.07,4.52,2.24,9.85,68.71,9.33,20.19,,,,,,,,
2017-03-27,40,2.13,0.56,5.1,2.41,10.64,72.28,9.62,16.29,,,,,,,,
2017-04-10,1,2.29,0.11,4.33,2.24,10.51,72.37,6.05,14.49,,,,,,,,
2017-04-10,40,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND
2017-04-21,1,2.07,0.08,4.53,2.47,10.45,72.1,9.53,21.92,,,,,,,,
2017-04-21,40,2.29,0.41,4.96,2.5,10.81,74.74,7.6,14.54,,,,,,,,
2017-05-04,1,1.41,0.04,4.2,2.17,10.21,72.43,6.7,16.62,,,,,,,,
2017-05-04,40,1.49,0.25,4.65,2.3,10.52,72.78,8.2,17.42,,,,,,,,
2017-05-19,1,1.44,0.04,2.85,1.33,10.66,69.15,7.35,18,,,,,,,,
2017-05-19,40,1.66,0.19,4.64,1.36,11.09,73.6,7.79,17.48,,,,,,,,
2017-06-01,1,1.22,0.07,4.37,1.98,10.59,57.33,9.82,22.5,,,,,,,,
2017-06-01,40,2.34,0.22,4.09,2.1,10.32,53.08,6.25,14.94,,,,,,,,
2017-06-15,1,1.28,0.07,4.11,1.22,10.01,57.11,10.26,22.75,,,,,,,,
2017-06-15,40,1.74,0.17,3.96,2.15,10.66,72.6,10.12,21.43,,,,,,,,
2017-07-06,1,0.78,0.04,4.45,1.57,10.4,56.54,10.15,23.85,,,,,,,,
2017-07-06,40,1.67,0.12,4.46,1.8,10.62,68.38,10.09,23.21,,,,,,,,
2017-07-26,1,1.41,0.05,4.07,1.95,10.99,51.36,8.75,20.24,,,,,,,,
2017-07-26,40,1.06,0.3,2.01,2.25,8.77,79.34,13.45,19.35,,,,,,,,
2017-08-14,1,0.62,0.13,4.41,2,10.8,55.24,10.62,23.47,,,,,,,,
2017-08-14,40,1.65,0.28,4,2.12,11,71.58,10.8,23.21,,,,,,,,
2017-09-01,1,0.81,0.04,4.81,2.14,10.83,55.79,12.77,27.15,,,,,,,,
2017-09-01,40,1.88,0.31,4.68,2.32,10.88,72.37,12.75,27.42,,,,,,,,
2017-09-25,1,0.78,0.14,,,,,,,,,ND,ND,ND,ND,ND,ND
2017-09-25,40,2.44,0.3,4.21,1.89,10.54,72.77,10.34,22.72,,,,,,,,
2017-10-03,1,0.98,0.04,4.15,2.21,11.12,66.39,9.4,21.78,,,,,,,,
2017-10-03,40,1.86,0.24,4.18,2.46,11.31,74.8,11.2,24.55,,,,,,,,
2017-10-22,1,1.05,0.12,3.68,1.29,10.74,68.3,11.56,26.15,,,,,,,,
2017-10-22,40,1.85,0.65,3.88,2,11.02,73.56,12.39,24.44,,,,,,,,
2017-11-03,1,1.03,0.18,4.04,2.03,10.4,69.42,6.4,13.74,,,,,,,,
2017-11-03,40,1.8,0.47,4.36,2,10.89,73.75,6.29,13.86,,,,,,,,
2017-11-19,1,0.55,0.12,3.98,2.41,10.14,69.32,1.5,22.44,,,,,,,,
2017-11-19,40,2.24,0.35,5.07,2.33,11.98,80.11,8.44,22.38,,,,,,,,
2017-12-06,1,0.76,0.08,4.6,2.45,11.57,79.11,7.4,20.55,,,,,,,,
2017-12-06,40,1.93,0.43,5.3,2.59,12.32,81.58,8,19.59,,,,,,,,
2017-12-19,1,1.35,0.22,4.67,2.52,11.62,80.44,7.27,19.19,,,,,,,,
2017-12-19,40,2.64,0.51,5.29,2.59,12.49,83.29,7.71,18.36,,,,,,,,
2018-01-05,1,1.26,0.14,3.75,2.34,9.78,69.53,7.62,20.87,,,,,,,,
2018-01-05,40,1.79,0.52,4.5,2.34,10.75,73.44,10.01,25.35,,,,,,,,
2018-01-18,1,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND
2018-01-18,40,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND
2018-02-08,1,1.72,0.1,2.48,1.8,7.88,57.99,5.6,14.55,,,,,,,,
2018-02-08,40,1.34,0.24,4.04,2.26,10.16,72.38,11.18,27.43,,,,,,,,
2018-03-02,1,1.27,0.16,2.99,1.78,8.43,59.14,4.4,13.9,,,,,,,,
2018-03-02,40,1.57,0.27,3.86,2.05,9.42,61.11,6.46,18.07,,,,,,,,
2018-04-06,1,0.85,0.1,3.2,1.72,8.59,74.46,3.45,11.34,,,,,,,,
2018-04-06,40,1.4,0.36,3.85,1.99,9.59,79.35,4.79,13.5,,,,,,,,
2018-04-30,1,0.91,0.86,3.84,1.97,9,76.83,5.31,15.92,,,,,,,,
2018-04-30,40,1.97,0.63,3.79,2.09,9.56,80.19,6.13,17.55,,,,,,,,
2018-05-15,1,0.7,0.08,4.07,2.07,11.32,77.97,5.58,16.43,,,,,,,,
2018-05-15,40,1.88,0.21,3.78,2.28,7.92,82.86,6.16,15.45,,,,,,,,
2018-05-30,1,1.09,0.05,3.98,2.28,10.56,58.83,9.27,17.84,,,,,,,,
2018-05-30,40,1.61,0.22,4.14,2.6,11.44,67.32,10.33,18.25,,,,,,,,
2018-06-18,1,0.42,0.08,4.41,2.38,11.02,61.53,6.38,12.98,,,,,,,,
2018-06-18,40,1.75,0.36,4.2,2.54,10.58,72.86,8.09,14.74,,,,,,,,
2018-07-06,1,0.83,0.1,3.53,1.78,8.79,50.07,3.03,8.74,,,,,,,,
2018-07-06,40,1.62,0.32,3.45,2.03,8.75,60.43,3.93,9.73,,,,,,,,
2018-07-29,1,0.7,0.03,3.64,1.87,8.85,47.71,4.5,11.53,,,,,,,,
2018-07-29,40,1.02,0.37,3.49,2.06,8.73,60.16,4.6,11.2,,,,,,,,
2018-08-28,1,0.73,0.11,7.12,3.57,14.94,63.05,7.12,15.86,,,,,,,,
2018-08-28,40,1.44,0.28,6.75,3.93,15.7,51.77,6.87,14.92,,,,,,,,
2018-09-16,1,0.63,0.07,7.1,3.28,14.98,62.69,7.56,16.59,,,,,,,,
2018-09-16,40,1.77,0.45,6.6,3.66,14.55,78.38,7.48,15.38,,,,,,,,
2018-10-01,1,0.46,0.05,7.16,3.25,14.9,66.52,7.54,16.61,,,,,,,,
2018-10-01,40,1.67,0.49,6.65,3.63,14.54,78.29,7.49,15.4,,,,,,,,
2018-10-13,1,0.74,0.08,6.71,3.12,14.23,65.32,4.5,10.91,,,,,,,,
2018-10-13,40,1.63,0.48,6.34,3.55,13.92,74.97,5.28,11.5,,,,,,,,
2018-10-28,1,0.67,0.08,6.97,3.17,14.44,67.04,6.77,14.65,,,,,,,,
2018-10-28,40,1.76,0.35,6.48,3.65,14.19,75.88,6.63,13.95,,,,,,,,
2018-11-12,1,1.15,0.06,6.84,3.29,14.33,68.28,6.72,15.04,,,,,,,,
2018-11-12,40,1.68,0.56,6.78,3.76,14.37,76.6,6.75,13.32,,,,,,,,
2018-12-16,1,0.94,0.09,7.27,6.01,16.56,48.9,9.58,18.12,,,,,,,,
2018-12-16,40,2.2,0.39,6.55,3.83,14.36,76.42,6.65,13.54,,,,,,,,
2019-01-19,1,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND
2019-01-19,40,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND
2019-02-11,1,1.25,0.08,4.31,2.07,10.75,76.67,6.03,22.84,,,,,,,,
2019-02-11,40,2.96,1.68,4.73,2.72,10.24,82.84,7.21,10.75,,,,,,,,
2019-03-16,1,2.14,0.07,4.46,2.39,10.76,77.22,7.48,23.88,,,,,,,,
2019-03-16,40,2.94,0.73,4.76,2.65,11.26,82.05,7.73,16.18,,,,,,,,
2019-04-17,1,1.94,0.99,4.55,6.52,10.65,75.25,6.06,13.49,,,,,,,,
2019-04-17,40,1.98,0.46,4.63,2.54,9.72,73.39,5.6,13,,,,,,,,
2019-04-29,1,1.87,0.1,4.74,2.47,11.09,77.29,4.9,17.4,,,,,,,,
2019-04-29,40,1.97,0.38,4.58,2.55,11.02,77.89,5.15,13.43,,,,,,,,
2019-05-15,1,2.07,0.06,4.54,4.65,10.91,63.66,8.7,20.97,,,,,,,,
2019-05-15,40,2.12,0.4,4.5,2.47,9.55,77.25,6.43,16.56,,,,,,,,
2019-06-06,1,1.24,0.09,4.5,1.83,10.66,45.41,6.63,21.45,,,,,,,,
2019-06-06,40,1.91,0.6,4.44,2.25,11.03,76.66,4.27,12.64,,,,,,,,
2019-06-18,1,1.12,0.07,4.59,1.86,10.44,47.26,4.41,14.95,,,,,,,,
2019-06-18,40,2.66,0.45,4.41,2.25,10.6,73.33,5.17,14.15,,,,,,,,
2019-07-01,1,1.14,0.06,4.77,1.89,10.8,48.98,2.41,7.04,,,,,,,,
2019-07-01,40,1.96,0.54,4.43,2.29,10.42,75.57,4.76,12.43,,,,,,,,
2019-07-15,1,0.29,0.1,4.69,1.9,10.67,52.39,6.06,19.24,,,,,,,,
2019-07-15,40,1.98,0.57,4.44,2.23,10.48,74.65,6.04,15.66,,,,,,,,
2019-08-01,1,0.59,0.16,4.98,1.94,10.86,50.85,4.17,13.58,,,,,,,,
2019-08-01,40,2.33,0.58,4.51,2.34,10.62,72.56,4.69,12.34,,,,,,,,
2019-08-20,1,0.31,0.02,4.91,1.85,10.93,52.67,4.3,13.75,,,,,,,,
2019-08-20,40,2.29,0.43,4.42,2.24,10.49,74.15,4.84,12.89,,,,,,,,
2019-08-30,1,0.69,0.13,5.45,1.88,11.76,54.16,7.45,22.41,,,,,,,,
2019-08-30,40,1.75,0.58,4.74,2.3,11.3,77.51,7.41,18.91,,,,,,,,
2019-09-16,1,0.79,0.06,5.08,1.93,11.72,58.64,8.29,24.74,,,,,,,,
2019-09-16,40,1.44,0.41,4.62,2.26,11.14,77.25,8.02,20.81,,,,,,,,
2019-09-29,1,0.83,0.06,4.93,2.01,11.6,61.57,4.99,14.9,,,,,,,,
2019-09-29,40,2.45,0.48,4.58,2.45,11.35,77.78,5.75,14.87,,,,,,,,
2019-10-18,1,0.86,0.03,4.71,3.83,10.93,59.47,5.08,12.63,,,,,,,,
2019-10-18,40,2.53,0.49,4.41,2.31,11.13,72.45,4.67,11.88,,,,,,,,
2019-10-30,1,0.56,0.06,5.04,1.84,10.88,60.02,5.45,16.2,,,,,,,,
2019-10-30,40,1.65,0.48,4.63,2.18,10.84,73.01,6.07,14.92,,,,,,,,
2019-11-14,1,0.65,0.09,5.47,2.03,11.98,68.51,5.13,15.29,,,,,,,,
2019-11-14,40,2.56,0.6,4.84,2.44,11.93,79.44,6.04,13.6,,,,,,,,
2019-12-04,1,1.12,0.08,4.96,2.7,11.15,68.02,6.48,16.44,,,,,,,,
2019-12-04,40,3,0.5,4.65,2.21,11.28,75.27,6.23,12.74,,,,,,,,
2019-12-17,1,0.99,0.22,4.72,2.05,11.64,69.58,7.31,20.72,,,,,,,,
2019-12-17,40,3.5,0.94,4.45,2.34,11.43,76.15,7.19,17.27,,,,,,,,
2020-01-02,1,1.25,0.11,4.67,2.03,11.66,70.71,7.57,21.06,,,,,,,,
2020-01-02,40,2.88,0.53,4.42,2.23,12.05,75.89,7.38,17.67,,,,,,,,
2020-01-26,1,1.52,0.15,4.61,1.79,8.61,61.25,5.48,15.92,,,,,,,,
2020-01-26,40,3.43,0.61,4.34,2.06,9.15,66.64,6.02,13.84,,,,,,,,
2020-03-08,1,2.2,0.11,4.6,1.82,8.03,57.82,7.47,23.32,,,,,,,,
2020-03-08,40,2.19,0.1,4.49,1.77,8.61,62.01,7.58,23.53,,,,,,,,
2020-04-06,1,1.68,0.08,4.92,4.92,11.23,73.18,7.36,22.36,,,,,,,,
2020-04-06,40,1.7,0.06,4.9,2.06,11.5,75.54,7.34,22.27,,,,,,,,
2020-04-30,1,0.74,0.06,5.26,1.97,9.36,56.71,8.14,25.75,,,,,,,,
2020-04-30,40,1.34,0.07,4.96,2.06,9.92,71.21,8.44,25.4,,,,,,,,
2020-05-27,1,0.87,0.06,5.34,2.05,9.03,47.19,5.84,17.33,,,,,,,,
2020-05-27,40,3.23,0.15,5.08,2.18,9.42,69.3,6.49,18.71,,,,,,,,
2020-06-16,1,0.74,0.04,5.56,2.17,11.62,49.27,7.32,21.19,,,,,,,,
2020-06-16,40,1.93,0.2,5.78,2.79,11.77,77.84,7.63,20.28,,,,,,,,
2020-07-02,1,0.63,0.11,5.63,2.18,11.67,39.73,8.55,24.27,,,,,,,,
2020-07-02,40,1.53,0.31,5.44,2.55,11.96,72.2,8.9,24.86,,,,,,,,
2020-07-30,1,0.95,0.03,5.5,2.02,12.41,46.12,7.62,21.23,,,,,,,,
2020-07-30,40,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND
2020-09-03,1,1.39,0.04,5.69,2.11,12.37,49.57,8.12,22.03,,,,,,,,
2020-09-03,40,1.75,0.28,5.33,2.43,11.95,74.97,8.19,22.85,,,,,,,,
2020-09-29,1,1.39,0.08,5.84,2.15,10.14,47.78,7.28,19.31,,,,,,,,
2020-09-29,40,2.17,0.33,5.37,2.5,10.17,71.14,7.42,19.89,,,,,,,,
2020-10-30,1,0.65,0.07,5.54,2.12,8.33,90.11,5.5,13.51,,,,,,,,
2020-10-30,40,2.04,0.44,1.54,0.72,2.49,44.47,6.44,15.44,,,,,,,,
2020-12-01,1,0.7,0.06,5.46,2.13,13.43,65.79,4.87,11.86,,,,,,,,
2020-12-01,40,2.89,0.44,5.13,2.3,13.61,85.69,5.57,12.73,,,,,,,,
2020-12-30,1,1.13,0.13,5.54,2.19,4.38,56.66,11.43,23.91,,,,,,,,
2020-12-30,40,2.26,0.36,5.18,2.11,6.23,62.51,11.49,22.77,,,,,,,,
2021-02-16,1,1.16,0.08,5.61,2.28,9.32,62.92,17.79,33.16,,,,,,,,
2021-02-16,40,1.67,0.11,5.63,2.24,9.45,65.64,17.98,35.26,,,,,,,,
2021-04-02,1,1.77,0.11,5.02,2.08,5.31,41.32,12.8,25.27,,,,,,,,
2021-04-02,40,2.19,0.1,4.96,2.03,5.83,45.63,13.41,26.89,,,,,,,,
2021-04-30,1,1.98,0.12,5.04,1.98,6.33,52,13.54,28.03,,,,,,,,
2021-04-30,40,2.85,0.18,4.9,2.03,6.43,52.33,13.45,26.22,,,,,,,,
2021-06-01,1,1.46,0.07,4.8,1.96,7.09,44.79,12.87,27.09,,,,,,,,
2021-06-01,40,2.11,0.1,4.82,2.01,7.66,62.52,13.45,26.78,,,,,,,,
2021-07-01,1,1,0.07,5.06,1.96,9.75,42.91,13,26.84,,,,,,,,
2021-07-01,40,2.17,0.32,4.96,2.11,9.87,68,13.41,26.02,,,,,,,,
2021-07-30,1,0.9,0.03,5.5,1.86,10.52,41.67,4.19,15.8,,,,,,,,
2021-07-30,40,2.34,0.23,5.27,2.04,9.94,66.57,4.77,16.44,,,,,,,,
2021-09-01,1,0.99,0.02,5.17,1.67,8.89,43.12,5.43,18.99,,,,,,,,
2021-09-01,40,1.93,0.24,5.1,1.87,8.84,63.44,5.57,18.6,,,,,,,,
2021-10-02,1,0.77,0.03,4.91,1.59,6.59,43.32,5.54,19.21,,,,,,,,
2021-10-02,40,2.07,0.26,4.66,1.71,6.74,58.95,5.95,18.81,,,,,,,,
2021-11-07,1,1.06,0.05,7.04,2.35,8.54,59.68,16.86,26.74,,,,,,,,
2021-11-07,40,1.83,0.35,5.94,1.57,8.33,69.71,8.86,25,,,,,,,,
2021-12-20,1,1.24,0.08,3.2,1.58,18.75,96.59,8.05,23.84,,,,,,,,
2021-12-20,40,1.44,0.11,3.37,1.54,18.67,100.56,8,23.19,,,,,,,,
