day,temp_01,temp_10,temp_20,temp_30,temp_40
2012-04-12,4.6,4.45,4.06,2.9,2.74
2012-04-13,4.97,4.55,4.05,2.92,2.75
2012-04-14,5.47,4.56,4.07,2.93,2.75
2012-04-15,5.31,4.89,4.08,2.98,2.77
2012-04-16,5.55,5.28,4.07,3.04,2.8
2012-04-17,5.57,5.28,4.1,3.04,2.82
2012-04-18,5.9,5.29,4.1,3.08,2.83
2012-04-19,6.28,5.31,4.15,3.17,2.85
2012-04-20,6.72,5.4,4.12,3.17,2.87
2012-04-21,7.51,5.46,4.15,3.19,2.91
2012-04-22,8.84,5.45,4.09,3.23,2.97
2012-04-23,9.53,5.45,4.12,3.27,3.03
2012-04-24,9.3,5.4,4.11,3.28,3.12
2012-04-25,9.51,5.41,4.14,3.31,3.13
2012-04-26,9.85,5.4,4.15,3.33,3.18
2012-04-27,10.83,5.43,4.14,3.34,3.2
2012-04-28,11.78,5.44,4.13,3.35,3.21
2012-04-29,12.42,5.43,4.15,3.37,3.24
2012-04-30,13.08,5.43,4.14,3.37,3.27
2012-05-01,14.22,5.42,4.14,3.37,3.29
2012-05-02,15.15,5.41,4.14,3.37,3.31
2012-05-03,15.84,5.4,4.15,3.37,3.31
2012-05-04,16.5,5.39,4.12,3.38,3.32
2012-05-05,17.29,5.39,4.14,3.39,3.33
2012-05-06,17.09,5.37,4.14,3.38,3.34
2012-05-07,15.87,5.39,4.14,3.4,3.35
2012-05-08,15.14,5.39,4.19,3.41,3.36
2012-05-09,15.64,5.38,4.2,3.41,3.37
2012-05-10,16.3,5.37,4.19,3.41,3.38
2012-05-11,17.42,5.36,4.21,3.41,3.39
2012-05-12,17.61,5.36,4.18,3.42,3.4
2012-05-13,16.39,5.35,4.19,3.43,3.41
2012-05-14,16.02,5.36,4.21,3.43,3.41
2012-05-15,16.33,5.36,4.19,3.43,3.42
2012-05-16,15.94,5.33,4.2,3.43,3.43
2012-05-17,14.77,5.32,4.19,3.43,3.43
2012-05-18,14.46,5.34,4.22,3.43,3.43
2012-05-19,14.79,5.33,4.2,3.46,3.45
2012-05-20,15.5,5.33,4.2,3.48,3.46
2012-05-21,16.56,5.33,4.22,3.47,3.46
2012-05-22,17.99,5.31,4.19,3.48,3.47
2012-05-23,20.16,5.29,4.19,3.5,3.48
2012-05-24,20.01,5.3,4.18,3.49,3.48
2012-05-25,19.55,5.3,4.18,3.49,3.48
2012-05-26,19.59,5.29,4.17,3.5,3.48
2012-05-27,19.99,5.31,4.17,3.49,3.49
2012-05-28,20.31,5.31,4.17,3.51,3.51
2012-05-29,20.21,5.31,4.18,3.51,3.51
2012-05-30,18.88,5.32,4.17,3.5,3.52
2012-05-31,17.81,5.33,4.2,3.51,3.53
2012-06-01,16.96,5.32,4.23,3.51,3.54
2012-06-02,15.48,5.3,4.24,3.52,3.54
2012-06-03,14.87,5.33,4.23,3.53,3.54
2012-06-04,15.37,5.32,4.2,3.53,3.54
2012-06-05,15.69,5.3,4.21,3.54,3.54
2012-06-06,16.4,5.3,4.21,3.54,3.55
2012-06-07,16.52,5.33,4.21,3.55,3.55
2012-06-08,16.79,5.33,4.21,3.57,3.56
2012-06-09,17.29,5.32,4.21,3.57,3.56
2012-06-10,17.89,5.33,4.22,3.57,3.56
2012-06-11,19.29,5.34,4.22,3.58,3.57
2012-06-12,19.02,5.32,4.19,3.58,3.59
2012-06-13,19.68,5.31,4.22,3.59,3.59
2012-06-14,19.98,5.31,4.21,3.59,3.59
2012-06-15,19.64,5.31,4.23,3.59,3.59
2012-06-16,19.08,5.3,4.22,3.59,3.59
2012-06-17,20.46,5.31,4.22,3.6,3.59
2012-06-18,20.42,5.33,4.21,3.61,3.6
2012-06-19,21.48,5.34,4.22,3.62,3.6
2012-06-20,20.6,5.33,4.22,3.62,3.62
2012-06-21,19.86,5.32,4.2,3.62,3.62
2012-06-22,19.11,5.3,4.18,3.62,3.62
2012-06-23,19.33,5.32,4.2,3.62,3.62
2012-06-24,19.82,5.32,4.21,3.62,3.62
2012-06-25,19.86,5.32,4.21,3.62,3.62
2012-06-26,18.6,5.31,4.2,3.63,3.62
2012-06-27,17.45,5.31,4.23,3.63,3.62
2012-06-28,17.28,5.31,4.22,3.64,3.62
2012-06-29,17.41,5.32,4.21,3.64,3.63
2012-06-30,18.2,5.33,4.21,3.64,3.64
2012-07-01,19.34,5.34,4.2,3.65,3.64
2012-07-02,20.19,5.35,4.24,3.65,3.64
2012-07-03,20.5,5.35,4.27,3.67,3.64
2012-07-04,20.71,5.35,4.28,3.67,3.64
2012-07-05,21.41,5.33,4.25,3.68,3.65
2012-07-06,21.92,5.33,4.29,3.69,3.65
2012-07-07,22.94,5.33,4.28,3.69,3.67
2012-07-08,24.3,5.36,4.26,3.7,3.67
2012-07-09,24.14,5.36,4.28,3.71,3.67
2012-07-10,24.23,5.38,4.3,3.7,3.67
2012-07-11,24.08,5.37,4.3,3.71,3.67
2012-07-12,23.74,5.37,4.3,3.71,3.67
2012-07-13,22.64,5.37,4.3,3.71,3.68
2012-07-14,22.19,5.36,4.29,3.72,3.69
2012-07-15,21.85,5.38,4.29,3.72,3.7
2012-07-16,21.27,5.38,4.29,3.73,3.7
2012-07-17,20.44,5.39,4.29,3.73,3.7
2012-07-18,19.79,5.37,4.28,3.73,3.7
2012-07-19,19.47,5.36,4.28,3.73,3.7
2012-07-20,18.91,5.38,4.29,3.73,3.7
2012-07-21,18.78,5.39,4.29,3.74,3.7
2012-07-22,19.01,5.37,4.28,3.74,3.7
2012-07-23,19.37,5.38,4.29,3.74,3.7
2012-07-24,19.57,5.39,4.3,3.75,3.72
2012-07-25,20.3,5.4,4.29,3.75,3.72
2012-07-26,21.04,5.4,4.3,3.76,3.72
2012-07-27,21.36,5.38,4.3,3.75,3.73
2012-07-28,21.8,5.4,4.29,3.75,3.72
2012-07-29,23.03,5.42,4.28,3.75,3.74
2012-07-30,24.39,5.43,4.28,3.76,3.75
2012-07-31,23.73,5.4,4.31,3.76,3.75
2012-08-01,23.27,5.41,4.32,3.76,3.75
2012-08-02,23.31,5.42,4.32,3.77,3.75
2012-08-03,23.1,5.46,4.33,3.77,3.75
2012-08-04,23.56,5.43,4.32,3.79,3.76
2012-08-05,23.46,5.42,4.34,3.8,3.75
2012-08-06,23.79,5.46,4.33,3.8,3.75
2012-08-07,23.53,5.5,4.34,3.82,3.76
2012-08-08,22.54,5.5,4.33,3.81,3.78
2012-08-09,21.85,5.49,4.33,3.81,3.78
2012-08-10,20.85,5.46,4.34,3.81,3.78
2012-08-11,20.2,5.47,4.32,3.81,3.78
2012-08-12,19.78,5.47,4.31,3.82,3.78
2012-08-13,19.37,5.47,4.33,3.82,3.78
2012-08-14,18.57,5.48,4.33,3.81,3.78
2012-08-15,18.14,5.49,4.32,3.81,3.78
2012-08-16,18.16,5.48,4.32,3.8,3.8
2012-08-17,18.31,5.49,4.31,3.81,3.8
2012-08-18,18.78,5.49,4.31,3.81,3.8
2012-08-19,19.66,5.48,4.31,3.83,3.8
2012-08-20,20.17,5.5,4.31,3.83,3.8
2012-08-21,20.74,5.49,4.31,3.83,3.81
2012-08-22,20.66,5.51,4.34,3.84,3.82
2012-08-23,20.28,5.51,4.35,3.85,3.83
2012-08-24,20.1,5.51,4.34,3.85,3.83
2012-08-25,20.05,5.53,4.33,3.85,3.83
2012-08-26,19.67,5.54,4.34,3.86,3.83
2012-08-27,19.39,5.51,4.35,3.85,3.84
2012-08-28,19.13,5.52,4.33,3.85,3.85
2012-08-29,18.9,5.53,4.34,3.86,3.85
2012-08-30,19.16,5.51,4.35,3.86,3.85
2012-08-31,18.99,5.54,4.34,3.86,3.85
2012-09-01,18.91,5.53,4.36,3.86,3.85
2012-09-02,18.81,5.53,4.34,3.86,3.85
2012-09-03,18.94,5.53,4.34,3.86,3.85
2012-09-04,19.16,5.54,4.34,3.87,3.85
2012-09-05,18.7,5.54,4.34,3.86,3.85
2012-09-06,18.15,5.53,4.34,3.88,3.85
2012-09-07,17.36,5.54,4.34,3.87,3.85
2012-09-08,16.65,5.55,4.34,3.88,3.85
2012-09-09,16.59,5.55,4.34,3.88,3.85
2012-09-10,16.5,5.55,4.34,3.88,3.86
2012-09-11,16.74,5.57,4.34,3.88,3.87
2012-09-12,17.34,5.58,4.34,3.89,3.88
2012-09-13,16.85,5.58,4.35,3.89,3.88
2012-09-14,16.46,5.58,4.35,3.89,3.88
2012-09-15,16.29,5.58,4.35,3.89,3.88
2012-09-16,16.18,5.58,4.35,3.9,3.88
2012-09-17,16.31,5.6,4.36,3.9,3.88
2012-09-18,16.46,5.61,4.35,3.9,3.88
2012-09-19,16.41,5.61,4.36,3.91,3.88
2012-09-20,15.93,5.61,4.35,3.92,3.9
2012-09-21,15.74,5.63,4.35,3.92,3.91
2012-09-22,15.12,5.65,4.36,3.92,3.91
2012-09-23,14.36,5.66,4.35,3.92,3.91
2012-09-24,14.1,5.65,4.35,3.91,3.91
2012-09-25,14.1,5.62,4.36,3.92,3.91
2012-09-26,14.23,5.63,4.36,3.92,3.91
2012-09-27,14.55,5.68,4.37,3.92,3.91
2012-09-28,14.45,5.65,4.38,3.94,3.91
2012-09-29,14.28,5.66,4.38,3.95,3.92
2012-09-30,14.16,5.69,4.38,3.95,3.93
2012-10-01,13.85,5.7,4.39,3.95,3.93
2012-10-02,13.84,5.7,4.38,3.95,3.93
2012-10-03,13.78,5.71,4.37,3.95,3.93
2012-10-04,13.79,5.71,4.37,3.95,3.93
2012-10-05,13.5,5.74,4.37,3.95,3.93
2012-10-06,12.89,5.8,4.38,3.96,3.93
2012-10-07,12.61,5.83,4.38,3.96,3.94
2012-10-08,12.2,5.83,4.4,3.96,3.94
2012-10-09,11.76,5.85,4.4,3.96,3.94
2012-10-10,11.29,5.9,4.39,3.96,3.95
2012-10-11,11.11,5.9,4.39,3.96,3.95
2012-10-12,11.03,5.91,4.38,3.96,3.96
2012-10-13,10.68,5.91,4.39,3.96,3.96
2012-10-14,10.37,5.94,4.39,3.96,3.96
2012-10-15,10.31,5.95,4.39,3.96,3.96
2012-10-16,10.39,5.96,4.38,3.96,3.96
2012-10-17,10.46,6.02,4.39,3.96,3.96
2012-10-18,10.33,6.05,4.4,3.96,3.96
2012-10-19,10.36,6.08,4.38,3.96,3.96
2012-10-20,10.37,6.15,4.38,3.96,3.96
2012-10-21,10.31,6.22,4.39,3.96,3.96
2012-10-22,10.44,6.22,4.39,3.96,3.96
2012-10-23,10.34,6.22,4.39,3.96,3.96
2012-10-24,10.17,6.44,4.37,3.96,3.96
2012-10-25,9.88,6.57,4.37,3.96,3.95
2012-10-26,9.32,6.71,4.36,3.96,3.95
2012-10-27,8.76,7.09,4.37,3.96,3.95
2012-10-28,8.22,8.02,4.36,3.97,3.95
2012-10-29,7.88,8.14,4.36,3.97,3.95
2012-10-30,7.51,7.84,4.36,3.97,3.95
2012-10-31,7.22,7.64,4.36,3.98,3.95
2012-11-01,6.87,7.48,4.36,3.98,3.95
2012-11-02,6.82,7.36,4.37,3.98,3.95
2012-11-03,6.75,7.34,4.37,3.98,3.96
2012-11-04,6.7,7.35,4.37,3.98,3.96
2012-11-05,6.64,7.32,4.37,3.98,3.97
2012-11-06,6.53,7.21,4.37,3.98,3.96
2012-11-07,6.36,7.02,4.39,3.98,3.96
2012-11-08,6.26,6.89,4.39,3.98,3.97
2012-11-09,6.28,6.93,4.39,3.98,3.98
2012-11-10,6.28,6.91,4.39,3.98,3.98
2012-11-11,6.23,6.87,4.38,3.98,3.98
2012-11-12,6.26,6.89,4.38,3.98,3.98
2012-11-13,6.21,6.86,4.38,3.98,3.98
2012-11-14,6.08,6.72,4.37,3.98,3.98
2012-11-15,5.88,6.51,4.39,3.98,3.98
2012-11-16,5.79,6.4,4.4,3.98,3.98
2012-11-17,5.69,6.31,4.42,3.98,3.98
2012-11-18,5.5,6.11,4.47,3.98,3.98
2012-11-19,5.46,6.03,4.49,3.99,3.98
2012-11-20,5.4,5.98,4.52,3.99,3.98
2012-11-21,5.35,5.93,4.56,3.98,3.98
2012-11-22,5.26,5.84,4.76,3.98,3.98
2012-11-23,5.26,5.79,4.83,3.98,3.98
2012-11-24,5.21,5.79,4.86,3.98,3.98
2012-11-25,5.21,5.76,4.87,3.98,3.98
2012-11-26,5.19,5.71,4.86,3.98,3.98
2012-11-27,5.1,5.66,4.83,3.98,3.98
2012-11-28,5.15,5.66,4.87,3.98,3.98
2012-11-29,5.17,5.68,4.87,3.98,3.98
2012-11-30,5.12,5.66,4.93,3.99,3.98
2012-12-01,4.96,5.5,4.86,3.99,3.98
2012-12-02,4.75,5.28,4.77,3.99,3.98
2012-12-03,4.61,5.12,4.69,3.99,3.98
2012-12-04,4.41,4.91,4.53,3.99,3.98
2012-12-05,4.24,4.73,4.39,3.99,3.98
2012-12-06,4.05,4.55,4.18,4,3.98
2012-12-07,3.68,4.27,4.08,3.99,3.98
2012-12-08,3.49,4.15,4.08,3.99,3.98
2012-12-09,3.23,3.81,4.06,3.99,3.98
2012-12-10,2.54,3.76,3.95,4,3.98
2012-12-11,2.27,3.65,4,4.01,3.98
2012-12-12,2.25,3.74,3.98,4.01,3.98
2012-12-13,1.94,3.46,3.97,4.01,3.98
2012-12-14,1.82,3.29,3.98,4.01,3.98
2012-12-15,1.82,3.34,3.93,4.01,3.98
2012-12-16,1.77,3.43,3.93,4.01,3.98
2012-12-17,1.78,3.51,3.91,4.01,3.98
2012-12-18,1.78,3.55,3.88,4.01,3.98
2012-12-19,1.76,3.58,3.78,4.01,3.98
2012-12-20,1.73,3.62,3.82,4.01,3.98
2012-12-21,1.72,3.65,3.88,4.01,3.98
2012-12-22,1.73,3.67,3.87,4.01,3.98
2012-12-23,1.76,3.69,3.85,4.01,3.98
2012-12-24,1.77,3.71,3.89,3.99,3.98
2012-12-25,1.8,3.73,3.9,3.98,3.98
2012-12-26,1.84,3.78,3.92,3.98,3.98
2012-12-27,1.87,3.82,3.9,4.01,3.98
2012-12-28,1.92,3.81,3.89,4,3.98
2012-12-29,1.97,3.84,3.91,3.98,3.98
2012-12-30,2.02,3.87,3.9,3.98,3.98
2012-12-31,2.05,3.94,3.88,3.97,3.98
2013-01-01,2.1,3.98,3.86,3.95,3.98
2013-01-02,2.11,3.93,3.88,3.96,3.97
2013-01-03,2.14,3.84,3.88,3.96,3.98
2013-01-04,2.16,4.03,3.88,3.95,3.98
2013-01-05,2.19,3.97,3.85,3.91,3.98
2013-01-06,2.21,3.92,3.85,3.92,3.98
2013-01-07,2.23,3.87,3.86,3.91,3.97
2013-01-08,2.25,3.85,3.85,3.88,3.97
2013-01-09,2.26,3.87,3.84,3.9,3.97
2013-01-10,2.26,3.85,3.83,3.88,3.97
2013-01-11,2.26,3.75,3.72,3.9,3.97
2013-01-12,2.26,3.78,3.69,3.9,3.96
2013-01-13,2.25,3.8,3.72,3.86,3.96
2013-01-14,2.25,3.79,3.48,3.88,3.97
2013-01-15,2.25,3.77,3.47,3.87,3.97
2013-01-16,2.25,3.76,3.45,3.86,3.96
2013-01-17,2.25,3.73,3.33,3.87,3.97
2013-01-18,2.25,3.74,3.32,3.87,3.96
2013-01-19,2.25,3.7,3.39,3.89,3.98
2013-01-20,2.22,3.71,3.39,3.84,3.96
2013-01-21,2.24,3.7,3.42,3.87,3.98
2013-01-22,2.23,3.69,3.52,3.85,3.96
2013-01-23,2.23,3.7,3.48,3.87,3.97
2013-01-24,2.23,3.67,3.45,3.92,3.97
2013-01-25,2.23,3.67,3.45,3.9,3.97
2013-01-26,2.24,3.65,3.51,3.89,3.98
2013-01-27,2.23,3.66,3.51,3.92,3.97
2013-01-28,2.24,3.65,3.53,3.93,3.98
2013-01-29,2.24,3.65,3.52,3.95,3.96
2013-01-30,2.24,3.65,3.51,3.91,3.98
2013-01-31,2.25,3.64,3.51,3.91,3.96
2013-02-01,2.26,3.64,3.5,3.88,3.98
2013-02-02,2.28,3.63,3.51,3.9,3.96
2013-02-03,2.28,3.62,3.51,3.92,3.98
2013-02-04,2.24,3.62,3.51,3.89,3.97
2013-02-05,2.31,3.62,3.48,3.84,3.97
2013-02-06,2.37,3.62,3.51,3.87,3.98
2013-02-07,2.38,3.62,3.53,3.83,3.96
2013-02-08,2.39,3.62,3.51,3.83,3.98
2013-02-09,2.41,3.62,3.47,3.82,3.97
2013-02-10,2.42,3.62,3.49,3.84,3.98
2013-02-11,2.43,3.62,3.46,3.8,3.98
2013-02-12,2.45,3.65,3.42,3.84,3.98
2013-02-13,2.45,3.65,3.43,3.81,3.98
2013-02-14,2.46,3.65,3.46,3.78,3.98
2013-02-15,2.47,3.65,3.45,3.8,3.98
2013-02-16,2.47,3.65,3.51,3.8,3.98
2013-02-17,2.47,3.65,3.56,3.78,3.98
2013-02-18,2.48,3.65,3.56,3.81,3.97
2013-02-19,2.48,3.65,3.53,3.73,3.98
2013-02-20,2.49,3.65,3.53,3.79,3.98
2013-02-21,2.5,3.64,3.58,3.79,3.95
2013-02-22,2.49,3.62,3.54,3.81,3.98
2013-02-23,2.5,3.62,3.65,3.82,3.97
2013-02-24,2.5,3.61,3.67,3.82,3.96
2013-02-25,2.51,3.59,3.68,3.82,3.98
2013-02-26,2.52,3.59,3.7,3.83,3.97
2013-02-27,2.53,3.59,3.65,3.82,3.96
2013-02-28,2.55,3.59,3.66,3.82,3.98
2013-03-01,2.6,3.59,3.73,3.84,3.96
2013-03-02,2.66,3.59,3.71,3.84,3.96
2013-03-03,2.7,3.57,3.76,3.84,3.97
2013-03-04,2.76,3.56,3.75,3.83,3.98
2013-03-05,2.82,3.56,3.77,3.85,3.96
2013-03-06,2.9,3.56,3.69,3.85,3.96
2013-03-07,3,3.56,3.7,3.84,3.97
2013-03-08,3.1,3.56,3.7,3.85,3.97
2013-03-09,3.2,3.56,3.77,3.85,3.96
2013-03-10,3.28,3.56,3.7,3.87,3.95
2013-03-11,3.32,3.56,3.7,3.85,3.97
2013-03-12,3.29,3.56,3.68,3.87,3.98
2013-03-13,3.33,3.56,3.69,3.87,3.97
2013-03-14,3.34,3.55,3.62,3.86,3.96
2013-03-15,3.32,3.55,3.59,3.84,3.95
2013-03-16,3.31,3.53,3.61,3.85,3.97
2013-03-17,3.34,3.53,3.61,3.89,3.98
2013-03-18,3.31,3.53,3.5,3.9,3.96
2013-03-19,3.33,3.53,3.56,3.82,3.95
2013-03-20,3.33,3.53,3.58,3.85,3.95
2013-03-21,3.31,3.53,3.6,3.87,3.96
2013-03-22,3.32,3.53,3.59,3.9,3.97
2013-03-23,3.31,3.53,3.56,3.9,3.96
2013-03-24,3.31,3.53,3.59,3.87,3.96
2013-03-25,3.32,3.51,3.6,3.85,3.95
2013-03-26,3.29,3.52,3.61,3.72,3.96
2013-03-27,3.3,3.51,3.61,3.85,3.96
2013-03-28,3.29,3.5,3.63,3.86,3.96
2013-03-29,3.25,3.5,3.59,3.8,3.95
2013-03-30,3.28,3.5,3.58,3.78,3.96
2013-03-31,3.28,3.5,3.61,3.71,3.96
2013-04-01,3.25,3.51,3.6,3.74,3.96
2013-04-02,3.26,3.52,3.65,3.76,3.96
2013-04-03,3.24,3.5,3.66,3.74,3.95
2013-04-04,3.24,3.52,3.66,3.71,3.95
2013-04-05,3.25,3.53,3.67,3.71,3.95
2013-04-06,3.24,3.53,3.61,3.71,3.96
2013-04-07,3.24,3.53,3.65,3.68,3.96
2013-04-08,3.23,3.53,3.65,3.7,3.96
2013-04-09,3.24,3.53,3.68,3.72,3.96
2013-04-10,3.25,3.53,3.69,3.72,3.95
2013-04-11,3.29,3.53,3.68,3.72,3.96
2013-04-12,3.35,3.53,3.68,3.72,3.96
2013-04-13,3.44,3.53,3.69,3.69,3.96
2013-04-14,3.39,3.53,3.67,3.72,3.95
2013-04-15,3.38,3.53,3.69,3.7,3.95
2013-04-16,3.48,3.53,3.68,3.69,3.95
2013-04-17,3.5,3.53,3.69,3.69,3.95
2013-04-18,3.59,3.53,3.68,3.64,3.97
2013-04-19,4.14,3.55,3.55,3.46,3.8
2013-04-20,5.1,3.57,3.47,3.39,3.74
2013-04-21,5.58,3.57,3.39,3.39,3.73
2013-04-22,6.11,3.59,3.39,3.39,3.7
2013-04-23,6.74,3.6,3.43,3.4,3.68
2013-04-24,7.13,3.6,3.42,3.4,3.66
2013-04-25,7.95,3.63,3.41,3.38,3.65
2013-04-26,8.67,3.62,3.41,3.38,3.65
2013-04-27,9.67,3.66,3.41,3.38,3.62
2013-04-28,9.77,3.79,3.41,3.38,3.62
2013-04-29,9.37,3.81,3.41,3.39,3.62
2013-04-30,10.15,3.79,3.41,3.4,3.61
2013-05-01,10.7,3.71,3.42,3.4,3.6
2013-05-02,11.13,3.69,3.41,3.4,3.58
2013-05-03,12.01,3.69,3.42,3.4,3.57
2013-05-04,11.94,3.67,3.43,3.4,3.57
2013-05-05,12.97,3.69,3.43,3.4,3.54
2013-05-06,13.52,3.69,3.44,3.4,3.54
2013-05-07,13.76,3.78,3.44,3.4,3.53
2013-05-08,14.48,3.88,3.43,3.4,3.52
2013-05-09,15.76,3.88,3.44,3.4,3.5
2013-05-10,16.88,3.91,3.44,3.41,3.48
2013-05-11,17.05,3.88,3.44,3.42,3.49
2013-05-12,17.32,3.87,3.44,3.43,3.48
2013-05-13,16.66,3.88,3.44,3.43,3.48
2013-05-14,16.21,3.89,3.44,3.43,3.48
2013-05-15,16.53,3.9,3.44,3.43,3.48
2013-05-16,17.06,3.87,3.44,3.43,3.48
2013-05-17,17.11,3.88,3.44,3.43,3.48
2013-05-18,18.26,3.87,3.44,3.43,3.48
2013-05-19,19.55,3.85,3.44,3.43,3.48
2013-05-20,19.8,3.88,3.44,3.43,3.48
2013-05-21,20.13,3.86,3.44,3.43,3.47
2013-05-22,20,3.84,3.44,3.43,3.47
2013-05-23,19.72,3.83,3.44,3.43,3.48
2013-05-24,18.41,3.82,3.44,3.43,3.47
2013-05-25,17.62,3.82,3.44,3.43,3.47
2013-05-26,17.08,3.84,3.46,3.43,3.48
2013-05-27,17.39,3.91,3.45,3.43,3.47
2013-05-28,16.61,3.91,3.45,3.43,3.46
2013-05-29,16.77,3.87,3.45,3.43,3.46
2013-05-30,17.56,3.88,3.46,3.43,3.47
2013-05-31,17.97,3.86,3.46,3.43,3.46
